created_at,text
2021-12-04 7:21:15,"RT @TaeTaes92: It was only inevitable that Namjoon was going to break something.. 😭😭
#PTD_ON_STAGE_LA_Day4 
#PTD_ON_STAGE_LA 
#PTD_LA_ON_ST…"
2021-12-04 7:21:14,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:21:12,RT @babysun_hsw: jk and his little flower 🌸🥺 #BTS #BTSinLA #PTD_ON_STAGE_LA #정국 #JUNGKOOK https://t.co/s8q5sYpRYD
2021-12-04 7:21:12,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:21:11,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:21:11,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:21:11,"RT @TaeTaes92: It was only inevitable that Namjoon was going to break something.. 😭😭
#PTD_ON_STAGE_LA_Day4 
#PTD_ON_STAGE_LA 
#PTD_LA_ON_ST…"
2021-12-04 7:21:10,"RT @TaeTaes92: It was only inevitable that Namjoon was going to break something.. 😭😭
#PTD_ON_STAGE_LA_Day4 
#PTD_ON_STAGE_LA 
#PTD_LA_ON_ST…"
2021-12-04 7:21:10,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:21:09,RT @bellapoarch: So this is what heaven is like😭✨ #PTD_ON_STAGE_LA https://t.co/kwxdh4hMDB
2021-12-04 7:21:08,"RT @BABANGTAN_613: BTS #PTD_ON_STAGE_LA   CONCERT

BTS hd wallpaper (LRB VER)

#NAMJOON #RM #SEOKJIN #JIN #YOONGI #SUGA #HOSEOK #JHOPE #JIM…"
2021-12-04 7:21:08,"RT @TaeTaes92: It was only inevitable that Namjoon was going to break something.. 😭😭
#PTD_ON_STAGE_LA_Day4 
#PTD_ON_STAGE_LA 
#PTD_LA_ON_ST…"
2021-12-04 7:21:06,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:21:05,RT @babysun_hsw: jk and his little flower 🌸🥺 #BTS #BTSinLA #PTD_ON_STAGE_LA #정국 #JUNGKOOK https://t.co/s8q5sYpRYD
2021-12-04 7:21:04,"RT @LiamMcEwan: 4 brilliant shows. 7 incredible artists. Congrats, @BTS_twt. 💜 #PTD_ON_STAGE_LA"
